userID,Movie Recommendation 1,Movie Recommendation 2,Movie Recommendation 3,Movie Recommendation 4,Movie Recommendation 5,Movie Recommendation 6,Movie Recommendation 7,Movie Recommendation 8,Movie Recommendation 9,Movie Recommendation 10
1,Airplane! ,"Christmas Story, A ",Ferris Bueller's Day Off ,"League of Their Own, A ",L̩on: The Professional   ,"Killer, The  ",Hard-Boiled  ,Bullitt ,Patriot Games ,"Getaway, The "
2,Forrest Gump ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love ,Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
3,Alien ,Aliens ,2001: A Space Odyssey ,Apocalypse Now ,Army of Darkness ,"Abominable Snowman, The  ",Attack of the Puppet People ,From Beyond ,"Thing from Another World, The ","Asphyx, The "
4,Annie Hall ,Apocalypse Now ,"Godfather, The ","Godfather: Part II, The ","Graduate, The ",American History X ,"Godfather: Part II, The ","Green Mile, The ",Casino ,"Shawshank Redemption, The "
5,Forrest Gump ,Speed ,Dave ,Mrs. Doubtfire ,Philadelphia ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love 
6,"Nightmare Before Christmas, The ",Peter Pan ,Fantasia ,"Sword in the Stone, The ",Beauty and the Beast: The Enchanted Christmas ,"Rudolph, the Red-Nosed Reindeer ","Matrix, The ",Fight Club ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back 
7,"Matrix, The ",Pulp Fiction ,"Godfather, The ",Schindler's List ,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
8,Beauty and the Beast ,Crimson Tide ,Terminator 2: Judgment Day ,Starship Troopers ,"Running Man, The ",Superman II ,"Blood of Heroes, The  ",Death Race 2000 ,"Matrix, The ",Fight Club 
9,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
10,Beauty and the Beast ,Cinderella ,"Nightmare Before Christmas, The ",Fantasia ,Pinocchio ,Peter Pan ,"Shawshank Redemption, The ","Silence of the Lambs, The ","Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
11,Star Trek: Generations ,Batman ,Beauty and the Beast ,Crimson Tide ,Dances with Wolves ,True Grit ,Lonesome Dove ,Ride the High Country ,Quigley Down Under ,Return to Snowy River  
12,Forrest Gump ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
13,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The "
14,Babe ,Crimson Tide ,"Lion King, The ","Fugitive, The ",Ghost ,Sleepers ,Cape Fear ,"Dead Zone, The ",Arlington Road ,Red Rock West 
15,"Silence of the Lambs, The ",Indiana Jones and the Last Crusade ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance ,"Silence of the Lambs, The ","Usual Suspects, The ",Braveheart 
16,"Godfather: Part II, The ","Green Mile, The ",Casino ,Dead Man Walking ,Donnie Brasco ,Bonnie and Clyde ,Braveheart ,Terminator 2: Judgment Day ,Toy Story ,Apollo 13 
17,Alien ,Aliens ,Fargo ,Man Bites Dog  ,Freeway ,Trainspotting ,"Lock, Stock & Two Smoking Barrels ",Get Shorty ,Monty Python and the Holy Grail ,Fargo 
18,American Beauty ,Ghostbusters  ,Blade ,Platoon ,Aliens ,Casablanca ,Jerry Maguire ,Leaving Las Vegas ,Sense and Sensibility ,"Piano, The "
19,Saving Private Ryan ,"Godfather, The ","Truman Show, The ","Blues Brothers, The ",Braveheart ,Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The "
20,Raiders of the Lost Ark  ,Toy Story ,Back to the Future ,Jurassic Park ,"Matrix, The ","Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live 
21,Saving Private Ryan ,"Sixth Sense, The ",True Lies ,Animal House ,Babe ,Braveheart ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Longest Day, The "
22,"Godfather: Part II, The ",Goodfellas ,American History X ,"Green Mile, The ",Casino ,Dead Man Walking ,Pulp Fiction ,"Matrix, The ","Silence of the Lambs, The ","Usual Suspects, The "
23,Taxi Driver ,Wallace & Gromit: The Wrong Trousers ,Being John Malkovich ,Clerks ,"Good, the Bad and the Ugly, The  ",Red River ,Butch Cassidy and the Sundance Kid ,"Hidden Fortress, The  ","Wild Bunch, The ",Indiana Jones and the Last Crusade 
24,Fight Club ,Indiana Jones and the Last Crusade ,American Beauty ,"Sixth Sense, The ",Star Wars: Episode V - The Empire Strikes Back ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
25,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The ",Fight Club 
26,Crimson Tide ,Braveheart ,Dances with Wolves ,Outbreak ,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
27,Aladdin ,Alice in Wonderland ,Casablanca ,"Full Monty, The ",Mary Poppins ,Robin Hood ,Oliver & Company ,"Jungle Book, The ","Muppet Movie, The ",Muppet Treasure Island 
28,Dead Poets Society ,Indiana Jones and the Last Crusade ,Indiana Jones and the Temple of Doom ,One Flew Over the Cuckoo's Nest ,Platoon ,Rain Man ,Dead Poets Society ,Amadeus ,Rocky ,To Kill a Mockingbird 
29,"Godfather: Part II, The ",One Flew Over the Cuckoo's Nest ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Toy Story ,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Star Wars: Episode I - The Phantom Menace ,Superman ,Mad Max 
